Angle,Outer_Radius,Inner_Radius
0,173,163
5,174,164
10,175,165
15,175,165
20,177,167
25,176,166
30,173,163
35,173,163
40,174,164
45,105,95
50,185,175
55,187,177
60,189,179
65,190,180
70,191,181
75,167,157
80,167,157
85,160,150
90,165,155
95,163,153
100,161,151
105,156,146
110,147,137
115,142,132
120,137,127
125,142,132
130,143,133
135,211,201
140,153,143
145,151,141
150,148,138
155,146,136
160,137,127
165,136,126
170,135,125
175,132,122
180,134,124
185,147,137
190,141,131
195,141,131
200,142,132
205,147,137
210,145,135
215,142,132
220,135,125
225,146,136
230,145,135
235,159,149
240,163,153
245,159,149
250,162,152
255,164,154
260,150,140
265,162,152
270,164,154
275,164,154
280,166,156
285,178,168
290,176,166
295,173,163
300,167,157
305,161,151
310,160,150
315,170,160
320,175,165
325,174,164
330,176,166
335,174,164
340,174,164
345,173,163
350,173,163
355,173,163
